protein1_id	protein2_id	gene1	gene2	sources	hpa_datasets	gold_record_count	methods	publications	supporting_structures	n_ddi	n_dmi	ddi	dmi
P01100	P10275	FOS	AR	CORUM		0	coimmunoprecipitation;electrophoretic mobility shift assay	9211894		0	0		
P01100	P11473	FOS	VDR	BioGRID		1	Reconstituted Complex	10330159		0	0		
P01100	P15036	FOS	ETS2	BioGRID		1	Reconstituted Complex	9334186		0	0		
P01100	P15336	FOS	ATF2	BioGRID;Human Protein Atlas (HPA)	intact_biogrid_bioplex	1	Reconstituted Complex	1827203		1	0	PF00170(Basic-leucine zipper domain)--PF00170(Basic-leucine zipper domain)[pdb=43]	
P01100	P17275	FOS	JUNB	Human Protein Atlas (HPA)	intact_biogrid	0				1	0	PF00170(Basic-leucine zipper domain)--PF00170(Basic-leucine zipper domain)[pdb=43]	
P01100	P17535	FOS	JUND	Human Protein Atlas (HPA)	intact_biogrid_bioplex	0				1	0	PF00170(Basic-leucine zipper domain)--PF00170(Basic-leucine zipper domain)[pdb=43]	
P01100	P17544	FOS	ATF7	Human Protein Atlas (HPA)	intact_biogrid	0				1	0	PF00170(Basic-leucine zipper domain)--PF00170(Basic-leucine zipper domain)[pdb=43]	
P01100	P17861	FOS	XBP1	BioGRID		1	Reconstituted Complex	1903538		1	0	PF00170(Basic-leucine zipper domain)--PF00170(Basic-leucine zipper domain)[pdb=43]	
P01100	P17947	FOS	SPI1	BioGRID		1	Reconstituted Complex	9681824		0	0		
P01100	P18848	FOS	ATF4	Human Protein Atlas (HPA)	intact_biogrid	0				1	0	PF00170(Basic-leucine zipper domain)--PF00170(Basic-leucine zipper domain)[pdb=43]	
P01100	P20226	FOS	TBP	BioGRID		1	Reconstituted Complex	8065335		0	0		
P01100	P21675	FOS	TAF1	BioGRID		1	Reconstituted Complex	8065335		0	0		
P01100	P56270	FOS	MAZ	BioGRID		1	Far Western	19028685		0	0		
P01100	P68400	FOS	CSNK2A1	BioGRID		2	Far Western;Reconstituted Complex	9685505		0	1		P01100:DOC_MAPK_FxFP_2--PF00069(Protein kinase domain)
P01100	P84022	FOS	SMAD3	BioGRID		1	Reconstituted Complex	9732876		0	0		
P01100	Q01196	FOS	RUNX1	BioGRID		2	Reconstituted Complex	11274169;11641401		0	0		
P01100	Q12857	FOS	NFIA	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01100	Q13469	FOS	NFATC2	PDB		1	X-ray		1A02;1S9K	1	0	PF00170(Basic-leucine zipper domain)--PF00554(Rel homology domain, DNA-binding domain)[pdb=3]	
P01100	Q13526	FOS	PIN1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	16123044		0	0		
P01100	Q13950	FOS	RUNX2	BioGRID		2	Reconstituted Complex	11274169;11641401		0	0		
P01100	Q14686	FOS	NCOA6	BioGRID		1	Reconstituted Complex	10847592		0	0		
P01100	Q15596	FOS	NCOA2	BioGRID		1	Reconstituted Complex	18511550		0	0		
P01100	Q15788	FOS	NCOA1	BioGRID		3	Reconstituted Complex	10847592;18511550;9642216		0	0		
P01100	Q86X55	FOS	CARM1	BioGRID		1	Reconstituted Complex	18511550		0	0		
P01100	Q92793	FOS	CREBBP	BioGRID		1	Reconstituted Complex	11782371		0	0		
P01100	Q96EB6	FOS	SIRT1	BioGRID		1	Reconstituted Complex	20042607		0	0		
P01100	Q9UJW3	FOS	DNMT3L	BioGRID		1	Reconstituted Complex	24952347		0	0		
P01100	Q9Y618	FOS	NCOR2	BioGRID		1	Reconstituted Complex	10777532		0	0		
P01100	Q9Y6Q9	FOS	NCOA3	BioGRID		1	Reconstituted Complex	18511550		0	0		
P01106	P05549	MYC	TFAP2A	BioGRID		1	Reconstituted Complex	7729426		0	0		
P01106	P08047	MYC	SP1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	15780936		0	0		
P01106	P11473	MYC	VDR	BioGRID		1	Reconstituted Complex	30606768		0	0		
P01106	P20226	MYC	TBP	BioGRID		1	Reconstituted Complex	8755740		0	0		
P01106	P21675	MYC	TAF1	BioGRID		1	Reconstituted Complex	39820713		0	0		
P01106	P25208	MYC	NFYB	BioGRID		1	Reconstituted Complex	11282029		0	0		
P01106	P25490	MYC	YY1	BioGRID		1	Reconstituted Complex	8266081		0	0		
P01106	P38398	MYC	BRCA1	BioGRID		1	Reconstituted Complex	9788437		0	0		
P01106	P49848	MYC	TAF6	BioGRID		1	Reconstituted Complex	39820713		0	0		
P01106	P50750	MYC	CDK9	BioGRID		1	Reconstituted Complex	11673469		0	1		P01106:MOD_GSK3_1--PF00069(Protein kinase domain)
P01106	P51531	MYC	SMARCA2	BioGRID		1	Reconstituted Complex	14559996		0	0		
P01106	P51532	MYC	SMARCA4	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	14559996		0	0		
P01106	P52701	MYC	MSH6	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	P61244	MYC	MAX	BioGRID;CORUM;Human Protein Atlas (HPA);PDB	intact_biogrid	13	Co-crystal Structure;EM;Reconstituted Complex;X-ray;anti bait coimmunoprecipitation	10229200;10465786;12391307;12553908;12584560;12706874;16410719;2006410;27859590;8224841;9680483	1NKP;6G6J;6G6K;6G6L;8OTS	2	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92] | PF02344(Leucine zipper, Myc)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=21]	
P01106	P61964	MYC	WDR5	Human Protein Atlas (HPA);PDB	intact_biogrid	1	X-ray		4Y7R;8Q1N	0	0		
P01106	P63208	MYC	SKP1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	P78347	MYC	GTF2I	BioGRID		1	Reconstituted Complex	8377829		0	0		
P01106	P84022	MYC	SMAD3	BioGRID		1	Reconstituted Complex	11804592		0	0		
P01106	Q09472	MYC	EP300	BioGRID		1	Reconstituted Complex	16287840		0	0		
P01106	Q12824	MYC	SMARCB1	BioGRID		3	Reconstituted Complex	10319872;14559996		0	0		
P01106	Q12888	MYC	TP53BP1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	Q12962	MYC	TAF10	BioGRID		1	Reconstituted Complex	39820713		0	0		
P01106	Q13105	MYC	ZBTB17	BioGRID;Human Protein Atlas (HPA);IntAct	intact_biogrid	5	Reconstituted Complex;pull down	11283613;26766587;27859590;9312026		0	0		
P01106	Q13263	MYC	TRIM28	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	Q13526	MYC	PIN1	Human Protein Atlas (HPA)	intact_biogrid	0				0	1		P01106:DOC_WW_Pin1_4--PF00397(WW domain)
P01106	Q13547	MYC	HDAC1	BioGRID		1	Reconstituted Complex	18003922		0	0		
P01106	Q13761	MYC	RUNX3	BioGRID		1	Reconstituted Complex	37400551		0	0		
P01106	Q13952	MYC	NFYC	BioGRID		1	Reconstituted Complex	10446203		1	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00125(Core Histone H2A/H2B/H3 domain)[pdb=1]	
P01106	Q14839	MYC	CHD4	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	Q15910	MYC	EZH2	BioGRID		1	Reconstituted Complex	35210568		0	0		
P01106	Q16514	MYC	TAF12	BioGRID		2	Reconstituted Complex	12660246;39820713		0	0		
P01106	Q16594	MYC	TAF9	BioGRID		1	Reconstituted Complex	12660246		0	0		
P01106	Q6PL18	MYC	ATAD2	BioGRID		1	Reconstituted Complex	19843847		0	0		
P01106	Q7Z6Z7	MYC	HUWE1	BioGRID		1	Reconstituted Complex	16269333		0	0		
P01106	Q8IY57	MYC	YAF2	BioGRID		2	Reconstituted Complex	12706874		0	0		
P01106	Q92769	MYC	HDAC2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	Q92793	MYC	CREBBP	BioGRID		2	Reconstituted Complex	12776737		0	0		
P01106	Q92830	MYC	KAT2A	BioGRID		2	Reconstituted Complex	12660246;17967894		0	0		
P01106	Q92922	MYC	SMARCC1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	14559996		0	0		
P01106	Q92993	MYC	KAT5	BioGRID		1	Reconstituted Complex	18003922		0	0		
P01106	Q93009	MYC	USP7	BioGRID		2	Reconstituted Complex	27618649		0	0		
P01106	Q96EB6	MYC	SIRT1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	22190494		0	0		
P01106	Q96L91	MYC	EP400	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	11509179		0	0		
P01106	Q99741	MYC	CDC6	BioGRID		1	Reconstituted Complex	10899308		0	0		
P01106	Q9BQG0	MYC	MYBBP1A	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	Q9BYE7	MYC	PCGF6	BioGRID		2	Reconstituted Complex	35933409		0	0		
P01106	Q9H0E3	MYC	SAP130	BioGRID		1	Reconstituted Complex	12660246		0	0		
P01106	Q9H9T3	MYC	ELP3	BioGRID		1	Reconstituted Complex	37771073		0	0		
P01106	Q9NRZ9	MYC	HELLS	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P01106	Q9P275	MYC	USP36	BioGRID		1	Reconstituted Complex	25775507		0	0		
P01106	Q9ULG1	MYC	INO80	BioGRID		1	Reconstituted Complex	39820713		0	0		
P01106	Q9UPT9	MYC	USP22	BioGRID		1	Reconstituted Complex	28160502		0	0		
P01106	Q9Y230	MYC	RUVBL2	BioGRID;Human Protein Atlas (HPA)	biogrid_opencell	1	Reconstituted Complex	12660246		0	0		
P01106	Q9Y265	MYC	RUVBL1	BioGRID		1	Reconstituted Complex	11509179		0	0		
P01106	Q9Y4A5	MYC	TRRAP	BioGRID;Human Protein Atlas (HPA)	intact_biogrid_opencell	2	Reconstituted Complex	12660246;9708738		0	0		
P01106	Q9Y6K1	MYC	DNMT3A	BioGRID		2	Reconstituted Complex	15616584		0	0		
P03372	P04637	ESR1	TP53	BioGRID		1	Reconstituted Complex	10766163		0	0		
P03372	P05412	ESR1	JUN	BioGRID;CORUM		1	Reconstituted Complex;coimmunoprecipitation;gst pull down;two hybrid	11477071		0	0		
P03372	P06401	ESR1	PGR	Human Protein Atlas (HPA)	intact_biogrid	0				4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P08047	ESR1	SP1	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	5	Reconstituted Complex;electrophoretic mobility shift assay;gst pull down	10681512;15084343;15705965;16439465;9611253		0	0		
P03372	P09086	ESR1	POU2F2	BioGRID		1	Reconstituted Complex	10480874		0	0		
P03372	P10275	ESR1	AR	CORUM		0	two hybrid	11000528		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P10588	ESR1	NR2F6	BioGRID		1	Reconstituted Complex	10713182		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P10589	ESR1	NR2F1	BioGRID		2	Reconstituted Complex	12093745;9395481		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P10827	ESR1	THRA	BioGRID		1	Reconstituted Complex	1371278		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P11474	ESR1	ESRRA	BioGRID		1	Reconstituted Complex	9395481		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P12757	ESR1	SKIL	BioGRID		1	Reconstituted Complex	22227247		0	0		
P03372	P13056	ESR1	NR2C1	BioGRID		1	Reconstituted Complex	12093804		2	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P14859	ESR1	POU2F1	BioGRID		1	Reconstituted Complex	10480874		0	0		
P03372	P15884	ESR1	TCF4	CORUM		0	coimmunoprecipitation;electrophoretic mobility shift assay	11522780		0	0		
P03372	P17676	ESR1	CEBPB	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	2	Reconstituted Complex;chromatin immunoprecipitation assay;coimmunoprecipitation	18852215;7651415;9817600		0	0		
P03372	P17861	ESR1	XBP1	BioGRID		1	Reconstituted Complex	12954762		0	0		
P03372	P20226	ESR1	TBP	BioGRID		2	Reconstituted Complex	11595744;9259327		0	0		
P03372	P27540	ESR1	ARNT	BioGRID		2	Reconstituted Complex	15837795;9611253		0	0		
P03372	P29375	ESR1	KDM5A	BioGRID		1	Reconstituted Complex	11358960		0	0		
P03372	P31946	ESR1	YWHAB	PDB		1	X-ray		5N10	0	0		
P03372	P35869	ESR1	AHR	BioGRID		3	Reconstituted Complex	15837795;19460354;9611253		0	0		
P03372	P38398	ESR1	BRCA1	BioGRID;CORUM;Human Protein Atlas (HPA);IntAct	intact_biogrid	9	Reconstituted Complex;coimmunoprecipitation;gst pull down;pull down	11244506;12400015;15674350;16061635		0	0		
P03372	P39687	ESR1	ANP32A	CORUM		0	coimmunoprecipitation	15308690		0	0		
P03372	P42229	ESR1	STAT5A	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	11682624		0	0		
P03372	P49116	ESR1	NR2C2	BioGRID		2	Reconstituted Complex	11844790		2	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	P49715	ESR1	CEBPA	BioGRID		1	Reconstituted Complex	9817600		0	0		
P03372	P51532	ESR1	SMARCA4	BioGRID		1	Reconstituted Complex	11003650		0	0		
P03372	P55345	ESR1	PRMT2	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex;coimmunoprecipitation;gst pull down;two hybrid	12039952		0	0		
P03372	P56524	ESR1	HDAC4	BioGRID		2	Reconstituted Complex	16051668;19893013		0	0		
P03372	P61371	ESR1	ISL1	BioGRID		1	Reconstituted Complex	11043578		0	0		
P03372	P98177	ESR1	FOXO4	BioGRID		1	Reconstituted Complex	11435445		0	0		
P03372	Q00403	ESR1	GTF2B	BioGRID		1	Reconstituted Complex	9259327		0	0		
P03372	Q01167	ESR1	FOXK2	BioGRID		1	Reconstituted Complex	25740706		0	0		
P03372	Q01851	ESR1	POU4F1	BioGRID		1	Reconstituted Complex	9448000		0	0		
P03372	Q02447	ESR1	SP3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P03372	Q03989	ESR1	ARID5A	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	2	Reconstituted Complex;gst pull down;two hybrid	15941852		0	0		
P03372	Q04206	ESR1	RELA	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	17932106		0	0		
P03372	Q05516	ESR1	ZBTB16	BioGRID		1	Reconstituted Complex	14521715		0	0		
P03372	Q09028	ESR1	RBBP4	BioGRID		1	Reconstituted Complex	18577416		0	0		
P03372	Q09472	ESR1	EP300	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	6	Reconstituted Complex	11782371;11867769;12479814;12714702;20348541;25728767		0	0		
P03372	Q12778	ESR1	FOXO1	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	2	Reconstituted Complex;gst pull down;two hybrid	11353774;11435445		0	0		
P03372	Q12837	ESR1	POU4F2	BioGRID		1	Reconstituted Complex	9448000		0	0		
P03372	Q13330	ESR1	MTA1	BioGRID;CORUM		5	Reconstituted Complex;fluorescence microscopy;gst pull down	11146623;12167865;12639951;16807247		0	0		
P03372	Q13547	ESR1	HDAC1	BioGRID		1	Reconstituted Complex	14506733		0	0		
P03372	Q13569	ESR1	TDG	BioGRID		2	Reconstituted Complex	12874288		0	0		
P03372	Q13887	ESR1	KLF5	BioGRID		1	Reconstituted Complex	19569049		0	0		
P03372	Q14151	ESR1	SAFB2	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	12660241		0	0		
P03372	Q14686	ESR1	NCOA6	BioGRID;CORUM		4	Reconstituted Complex;chromatin immunoprecipitation assay	10567404;10681503;10866662;11773444;31744881		0	0		
P03372	Q15303	ESR1	ERBB4	CORUM		0	coimmunoprecipitation;fluorescence microscopy;gst pull down	16912174		0	0		
P03372	Q15424	ESR1	SAFB	BioGRID		2	Reconstituted Complex	10707955;15066997		0	0		
P03372	Q15596	ESR1	NCOA2	BioGRID;CORUM;Human Protein Atlas (HPA);PDB	intact_biogrid	8	Co-crystal Structure;Reconstituted Complex;X-ray;anti tag coimmunoprecipitation;far western blotting	11014206;11937504;15657427;19460354;8670870;9192892;9430642	1GWQ;1GWR;1ZKY;2B1V;2B1Z;2B23;2FAI;2G44;2G5O;2P15;3ERD;3Q95;4IU7;4IUI;4IV2;4IV4;4IVW;4IVY;4IW6;4IW8;4IWC;4IWF;4PP6;4PPP;4PPS;4PXM;4Q13;4ZN7;4ZN9;4ZNH;4ZNS;4ZNT;4ZNU;4ZNV;4ZNW;5DI7;5DID;5DIE;5DIG;5DK9;5DKB;5DKE;5DKG;5DKS;5DL4;5DLR;5DMC;5DMF;5DP0;5DRJ;5DRM;5DTV;5DU5;5DUE;5DUG;5DUH;5DVS;5DVV;5DWE;5DWG;5DWI;5DWJ;5DX3;5DXB;5DXE;5DXG;5DXK;5DXM;5DXP;5DXQ;5DXR;5DY8;5DYB;5DYD;5DZ0;5DZ1;5DZ3;5DZH;5DZI;5E0W;5E0X;5E14;5E15;5E19;5E1C;5EGV;5EHJ;5EI1;5EIT;5HYR;5KCC;5KCD;5KCE;5KCF;5KCT;5KCU;5KCW;5KD9;5KR9;5KRA;5KRC;5KRF;5KRH;5KRI;5KRJ;5KRK;5KRL;5KRM;5KRO;5T1Z;5TLD;5TLF;5TLG;5TLL;5TLM;5TLO;5TLP;5TLT;5TLU;5TLV;5TLX;5TLY;5TM1;5TM2;5TM3;5TM4;5TM5;5TM6;5TM7;5TM8;5TM9;5TML;5TMM;5TMO;5TMQ;5TMR;5TMS;5TMT;5TMU;5TMV;5TMW;5TMZ;5TN1;5TN3;5TN4;5TN5;5TN6;5TN7;5TN8;5U2D;5WGQ;6CZN;6D0F;7JHD;7NEL;7NFB;7RKE;7SFO;7T2X;7YMK;8EV1;8EV2	2	1	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	Q15596:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
P03372	Q15788	ESR1	NCOA1	BioGRID;CORUM;Human Protein Atlas (HPA);PDB	intact_biogrid	19	Reconstituted Complex;X-ray;gst pull down	10454579;10598586;10731636;11003650;11014206;11113179;11178903;11358671;11867769;12714702;12738788;15140878;17363140;9121466;9192892;9192902;9259327;9427757;9773983	3UU7;3UUA;3UUD;4MG5;4MG6;4MG7;4MG8;4MG9;4MGA;4MGB;4MGC;4MGD;4TUZ;4TV1;5JMM;7Y8F;7Y8G	1	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62]	
P03372	Q15910	ESR1	EZH2	BioGRID		1	Reconstituted Complex	17502350		0	0		
P03372	Q16576	ESR1	RBBP7	BioGRID		1	Reconstituted Complex	18577416		0	0		
P03372	Q3L8U1	ESR1	CHD9	BioGRID		1	Reconstituted Complex	16554032		0	0		
P03372	Q5QJE6	ESR1	DNTTIP2	BioGRID;CORUM		1	Reconstituted Complex;coimmunoprecipitation;gst pull down;two hybrid	15047147		0	0		
P03372	Q6PL18	ESR1	ATAD2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P03372	Q6STE5	ESR1	SMARCD3	BioGRID		1	Reconstituted Complex	17363140		0	0		
P03372	Q8IXJ9	ESR1	ASXL1	CORUM		0	coimmunoprecipitation;gst pull down;two hybrid	16606617		0	0		
P03372	Q8IZL8	ESR1	PELP1	BioGRID		1	Reconstituted Complex	14963108		0	0		
P03372	Q8TD17	ESR1	ZNF398	BioGRID		1	Reconstituted Complex	11779858		0	0		
P03372	Q8WTS6	ESR1	SETD7	CORUM;PDB		1	X-ray;chromatin immunoprecipitation assay;coimmunoprecipitation	18471979	3CBM;3CBO	0	0		
P03372	Q92688	ESR1	ANP32B	BioGRID		1	Reconstituted Complex	20348541		0	0		
P03372	Q92731	ESR1	ESR2	BioGRID		2	Reconstituted Complex	10706629;9473491		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	Q92793	ESR1	CREBBP	BioGRID		3	Reconstituted Complex	11113179;11782371		0	1		Q92793:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
P03372	Q969G3	ESR1	SMARCE1	BioGRID		5	Reconstituted Complex	12145209;16538531;16769725;17363140		0	0		
P03372	Q96GM5	ESR1	SMARCD1	BioGRID		1	Reconstituted Complex	12917342		0	0		
P03372	Q96JN0	ESR1	LCOR	BioGRID;CORUM		2	Reconstituted Complex;bioluminescence resonance energy transfer;coimmunoprecipitation;gst pull down;two hybrid	12535528		0	0		
P03372	Q96KQ7	ESR1	EHMT2	BioGRID		1	Reconstituted Complex	21984853		0	0		
P03372	Q96L73	ESR1	NSD1	BioGRID		1	Reconstituted Complex	9628876		0	0		
P03372	Q96RI1	ESR1	NR1H4	CORUM		0	bimolecular fluorescence complementation;chromatin immunoprecipitation assay;coimmunoprecipitation	24729004		2	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P03372	Q96RL1	ESR1	UIMC1	BioGRID		1	Reconstituted Complex	17311814		0	0		
P03372	Q99814	ESR1	EPAS1	BioGRID		1	Reconstituted Complex	27323688		0	0		
P03372	Q99873	ESR1	PRMT1	BioGRID		1	Reconstituted Complex	11050077		0	0		
P03372	Q9BTK6	ESR1	PAGR1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	19039327		0	0		
P03372	Q9BYM8	ESR1	RBCK1	BioGRID		2	Reconstituted Complex	23042805		0	0		
P03372	Q9BZ95	ESR1	NSD3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P03372	Q9GZR2	ESR1	REXO4	BioGRID		1	Reconstituted Complex	10908561		0	0		
P03372	Q9H7B4	ESR1	SMYD3	BioGRID		1	Reconstituted Complex	19509295		0	0		
P03372	Q9NRG4	ESR1	SMYD2	PDB		1	X-ray		4O6F	0	0		
P03372	Q9NVW2	ESR1	RLIM	BioGRID		1	Reconstituted Complex	19117995		0	0		
P03372	Q9NYW8	ESR1	RBAK	CORUM		0	affinity chromatography technology;two hybrid	14664718		0	0		
P03372	Q9UBK2	ESR1	PPARGC1A	BioGRID		1	Reconstituted Complex	10748020		0	1		Q9UBK2:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
P03372	Q9UHF7	ESR1	TRPS1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P03372	Q9UJW3	ESR1	DNMT3L	BioGRID		1	Reconstituted Complex	24952347		0	0		
P03372	Q9UK53	ESR1	ING1	BioGRID		1	Reconstituted Complex	14630091		0	0		
P03372	Q9UKV0	ESR1	HDAC9	BioGRID		1	Reconstituted Complex	19893013		0	0		
P03372	Q9UQL6	ESR1	HDAC5	BioGRID		1	Reconstituted Complex	19893013		0	0		
P03372	Q9Y4A5	ESR1	TRRAP	BioGRID		1	Reconstituted Complex	12738788		0	0		
P03372	Q9Y618	ESR1	NCOR2	BioGRID		2	Reconstituted Complex	12738788;9171229		0	0		
P03372	Q9Y6Q9	ESR1	NCOA3	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	7	Reconstituted Complex;gst pull down	10490106;11050174;11353774;11389589;25728767;9192892;9252329;9346901		2	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	
P04150	P04637	NR3C1	TP53	BioGRID		1	Reconstituted Complex	11562347		0	0		
P04150	P05412	NR3C1	JUN	BioGRID		1	Reconstituted Complex	14522952		0	0		
